"device_ID","session_start_timeStamp","focal_start_timeStamp","focal_end_timeStamp","focal_set_duration","focal_set_scan_interval","focal_individual_ID"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","2019-06-11,19:52:47",,"18000","30","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","2019-06-11,19:57:00","2019-06-11,19:59:10","18000","30","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,10:40:18","2019-06-12,10:40:30","2019-06-12,10:46:21","18000","30","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:13:53","2019-06-12,16:14:18","2019-06-12,16:20:46","18000","30","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:23:27","2019-06-12,16:23:55","2019-06-12,16:24:26","18000","30","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:25:11","2019-06-12,16:25:26","2019-06-12,16:32:21","18000","30","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:34:05","2019-06-12,16:34:11","2019-06-12,16:35:21","18000","30","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,20:22:08","2019-06-12,20:22:22","2019-06-12,23:04:02","18000","30","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:40:02","2019-06-13,15:40:43",,"18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:43:02","2019-06-13,15:43:07","2019-06-13,15:45:10","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,16:22:08","2019-06-13,16:22:15","2019-06-13,16:24:32","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","2019-06-13,17:59:26","2019-06-13,19:43:18","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","2019-06-13,19:43:43","2019-06-13,23:00:11","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-14,17:59:33","2019-06-14,17:59:41","2019-06-14,22:59:41","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-15,17:59:45","2019-06-15,17:59:55",,"18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,18:00:40","2019-06-16,18:00:46","2019-06-16,20:58:32","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,20:59:25","2019-06-16,20:59:43","2019-06-16,22:43:30","7200","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,18:04:10","2019-06-17,18:04:16",,"18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,20:02:27","2019-06-17,20:02:35","2019-06-17,21:32:54","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-18,18:00:15","2019-06-18,18:00:29","2019-06-18,21:11:12","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-19,18:11:53","2019-06-19,18:11:57","2019-06-19,22:24:17","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,21:34:05","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,22:08:03","18000","1800","TNY"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,16:17:28","2019-07-12,16:17:48",,"18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","2019-07-12,18:54:19",,"18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,19:59:26","2019-07-12,22:09:41","18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-18,19:56:38","2019-07-18,19:56:51","2019-07-18,20:23:25","18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:08:49","2019-07-21,19:09:17","2019-07-21,22:37:48","18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-28,18:52:47","2019-07-28,18:54:14",,"18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-29,19:44:51","2019-07-29,19:46:56","2019-07-29,21:19:28","18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-29,19:44:51","2019-08-04,18:02:39","2019-08-04,18:03:14","18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-08-04,18:03:32","2019-08-04,18:03:53","2019-08-04,19:43:41","18000","1800","MOL"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:25:50","2019-12-26,16:26:40","2019-12-26,16:27:24","18000","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:33:28","2019-12-26,16:33:38","2019-12-26,16:34:31","18000","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:38:03","2019-12-26,16:38:14","2019-12-26,16:38:21","18000","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:43:56","2019-12-26,16:44:00","2019-12-26,16:44:00","0","0","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:51:14","2019-12-26,16:51:26","2019-12-26,16:51:26","0","0","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:51:40","2019-12-26,16:51:50","2019-12-26,16:52:02","3600","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:56:07","2019-12-26,16:57:41","2019-12-26,16:58:21","1800","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,18:24:49","2019-12-27,18:25:26",,"18000","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:02:28","2019-12-27,20:02:50",,"18000","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:03:38","2019-12-27,20:03:49","2019-12-27,22:05:50","18000","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-28,18:13:06","2019-12-28,18:13:42","2019-12-28,22:17:01","18000","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-30,18:22:22","2019-12-30,18:22:45","2019-12-30,22:22:45","14400","900","PTS"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-31,16:38:43","2019-12-31,16:39:22","2019-12-31,16:39:31","14400","900","LCK"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-31,18:56:25","2019-12-31,18:56:38","2019-12-31,22:56:38","14400","900","PTS"
